id	text	label
34	"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year ."	positive
35	"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % ."	positive
36	Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .	positive
37	"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share ."	positive
38	"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver ."	neutral
39	STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .	neutral
40	"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan ."	neutral
41	Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .	neutral
42	The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .	positive
43	"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 ."	positive
44	"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % ."	positive
45	"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 ."	positive
46	Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .	positive
47	Finnish Bank of +Ã land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .	positive
48	"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 ."	positive
49	"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier ."	positive
50	Net sales of Finnish food industry company L+Ã±nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .	positive
51	Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .	positive
52	"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 ."	positive
53	Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .	positive
54	Clothing chain Sepp+Ã±l+Ã± 's net sales increased by 7.0 % to EUR 30.8 mn .	positive
55	Construction volumes meanwhile grow at a rate of 10-15 percent annually .	positive
56	"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 ."	positive
57	"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year ."	positive
58	"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 ."	positive
59	"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 ."	positive
60	"International sales rose by 59.8 % to EUR 1,244.4 mn ."	positive
61	Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .	positive
62	Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .	positive
63	"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces ."	positive
64	"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 ."	positive
65	Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .	positive
66	Operating profit margin increased from 11.2 % to 11.7 % .	positive
67	Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .	positive
68	Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .	positive
69	"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn ."	positive
70	"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year ."	positive
71	"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million ."	positive
72	"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said ."	positive
73	"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year ."	positive
74	The Department Store Division reported an increase in sales of 4 per cent .	positive
75	The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .	positive
76	"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % ."	positive
77	"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 ."	positive
78	- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .	positive
79	21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .	positive
80	"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months ."	positive
81	Finnish Bank of +Ã land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .	positive
82	Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .	positive
83	Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .	positive
84	Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .	positive
85	"According to HKScan Finland , the plan is to increase J+Ã±rvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn ."	positive
86	"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively ."	positive
87	"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 ."	positive
88	"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 ."	positive
89	"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 ."	positive
90	"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 ."	positive
91	"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 ."	positive
92	"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 ."	positive
93	"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 ."	positive
94	"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 ."	positive
95	"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 ."	positive
96	"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 ."	positive
97	"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 ."	positive
98	"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 ."	positive
99	"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 ."	positive
100	"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 ."	positive
101	"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago ."	positive
102	"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 ."	positive
103	"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago ."	positive
104	Cargo volume increased by approximately 5 % .	positive
105	"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 ."	positive
106	"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) ."	positive
107	Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .	positive
108	Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .	positive
109	Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .	positive
110	Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .	positive
111	Diluted EPS rose to EUR3 .68 from EUR0 .50 .	positive
112	EBIT margin was up from 1.4 % to 5.1 % .	positive
113	"EPS from continuing operations came in at 0.30 eur , up from 0.17 ."	positive
114	"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 ."	positive
115	"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier ."	positive
116	"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. ."	positive
117	Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .	positive
118	Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .	positive
119	"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 ."	positive
120	Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .	positive
121	Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .	positive
122	Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .	positive
123	"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 ."	positive
124	"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 ."	positive
125	Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .	positive
126	First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .	positive
127	"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 ."	positive
128	"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year ."	positive
129	"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 ."	positive
130	"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said ."	positive
131	"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share ."	positive
132	"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres ."	positive
133	"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 ."	positive
134	"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 ."	positive
135	"In Q1 of 2010 , Bank of +Ã land 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn ."	positive
136	"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 ."	positive
137	"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m ."	positive
138	"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 ."	positive
139	"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 ."	positive
140	"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth ."	positive
141	"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth ."	positive
142	Its market share widened to 48.51 percent from 48.31 percent a year earlier .	positive
143	"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year ."	positive
144	"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct ."	positive
145	Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .	positive
146	"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 ."	positive
147	"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 ."	positive
148	"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 ."	positive
149	"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1"	positive
150	"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s"	positive
151	"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates ."	positive
152	Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .	positive
153	"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 ."	positive
154	"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn ."	positive
155	Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .	positive
156	"Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 ."	positive
157	Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .	positive
158	"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 ."	positive
159	Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .	positive
160	Operating profit rose to 22.1 mln eur from 19.9 mln .	positive
161	Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .	positive
162	Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .	positive
163	Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .	positive
164	Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .	positive
165	Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .	positive
166	Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .	positive
167	Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .	positive
168	Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .	positive
169	Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .	positive
170	Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .	positive
171	"Operating profit surged to EUR21m from EUR106 ,000 ."	positive
172	"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 ."	positive
173	"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn ."	positive
174	"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn ."	positive
175	"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn ."	positive
176	"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods ."	positive
177	Orders received grew by 55 % year-on-year to EUR732m .	positive
178	Orion Pharma 's operating profit increased by 42.5 % from 2004 .	positive
179	Passenger volumes rose by 8.4 % in the accounting period .	positive
180	Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .	positive
181	Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .	positive
182	"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 ."	positive
183	Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .	positive
184	"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn ."	positive
185	"Profit for the period totaled EUR 39.4 mn , up from EUR 33.9 mn in the corresponding period in 2006 ."	positive
186	"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn ."	positive
187	"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 ."	positive
188	Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .	positive
189	"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday ."	positive
190	Revenues at the same time grew 14 percent to 43 million euros .	positive
191	"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 ."	positive
192	Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .	positive
193	"Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 ."	positive
194	"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year ."	positive
195	"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters ."	positive
196	That would be an increase from estimated sales of 117 million last year .	positive
197	"The chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year ."	positive
198	The company expects its net sales in 2008 to increase 5-10 % from 2007 .	positive
199	"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year ."	positive
200	The EPS outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .	positive
201	"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 ."	positive
202	"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent ."	positive
203	"The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million ) , from (  x20ac ) 40.8 million a year earlier ."	positive
204	The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 .	positive
205	The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .	positive
206	The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .	positive
207	The transactions would increase earnings per share in the first quarter by some EUR0 .28 .	positive
208	Total operating revenue grew by 27.6 % year-on-year to EUR61m .	positive
209	Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .	positive
210	"`` BasWare 's product sales grew strongly in the financial period , by 24 percent ."	positive
211	1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .	positive
212	Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .	positive
213	Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .	positive
214	Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 .	positive
215	"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 ."	positive
216	Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .	positive
217	"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology ."	positive
218	"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur ."	positive
219	EPS grew to 0.04 eur from 0.02 eur .	positive
220	Exports grew 16.5 percent to 19.1 million liters .	positive
221	"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 ."	positive
222	Finnish metal components supplier Componenta Oyj said its net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .	positive
223	"Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V reported on Thursday 30 October an operating profit of EUR7 .4 m for January-September 2008 , up from EUR6 .1 m in the corresponding period in 2007 ."	positive
224	"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn ."	positive
225	"However , the proportion of the paid standing orders grew in 2009 ."	positive
226	"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 ."	positive
227	"In July-September 2008 , YIT 's net sales increased to EUR 970.8 mn , compared to EUR 906.8 mn in the corresponding period in 2007 ."	positive
228	"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period ."	positive
229	"In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million ."	positive
230	Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .	positive
231	"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 ."	positive
